Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
Trevor David Jones;1974;"""Harrap's Standard German and English Dictionary""";Unbekannt;Unbekannt
Unbekannt;1986;"""Acta Historiae Artium""";Unbekannt;Unbekannt
Hugh Redwald Trevor-Roper;1948;"""Hitlers letzte Tage""";Unbekannt;Unbekannt
Unbekannt;1988;"""Annales Zoologici""";Unbekannt;Unbekannt
J�rn Sievers, Thadd�us Schneider, St�ndiger Ausschuss f�r Geographische Namen;2000;"""Second International Symposium on Geographical Names, GeoNames 2000""";Unbekannt;Unbekannt
Unbekannt;1970;"""Mnemosyne""";Unbekannt;Unbekannt
Savet akademija nauka SFRJ.;1987;"""Bulletin scientifique""";Unbekannt;Unbekannt
Walter Ullmann;1975;"""The Church and the Law in the Earlier Middle Ages""";Unbekannt;Unbekannt
Unbekannt;1990;"""Quaerendo""";Unbekannt;Unbekannt
Arnold Schoenberg Institute, Kathryn P. Glennan, Jerry L. McBride, R. Wayne Shoaf;1986;"""Arnold Schoenberg Institute Archives Preliminary Catalog""";Unbekannt;Unbekannt
Unbekannt;1994;"""Carleton Germanic Papers""";Unbekannt;Unbekannt
Philip P. Betancourt;1999;"""Meletemata""";Unbekannt;Unbekannt
Immanuel Schmidt;1897;"""Fl�gel-Schmidt-Tanger W�rterbuch der englischen und deutschen Sprache""";Unbekannt;Unbekannt
Unbekannt;1923;"""Jahrbuch der Kleist-Gesellschaft""";Unbekannt;Unbekannt
Unbekannt;1995;"""JRMES""";Unbekannt;Unbekannt
Alfred Freiherrn von Berger, Karl Glossy;1919;"""�sterreichische rundschau""";Unbekannt;Unbekannt
Peter Heather;24.09.2014;"""Die Wiedergeburt Roms""";9783608107425;19,99
Rei Cretariae Romanae Fautores;1997;"""Rei Cretariae Romanae Fautorum Acta""";Unbekannt;Unbekannt
Matt Haig;01.02.2022;"""Der f�rsorgliche Mr. Cave""";9783426460825;9,99
Asuka Lionera;24.02.2022;"""Gladiator's Love. Vom Feuer gezeichnet""";9783646607833;9,99
Unbekannt;1923;"""Deutscher Gesamtkatalog""";Unbekannt;Unbekannt
Enrica von Handel-Mazzetti;1926;"""Das Rosenwunder: Das Blutzeugnis""";Unbekannt;Unbekannt
Unbekannt;1915;"""Siona""";Unbekannt;Unbekannt
